iter	Passed	Remaining
0	501	500924
1	878	438173
2	1258	418194
3	1672	416362
4	2055	409105
5	2486	411894
6	2918	413950
7	3317	411319
8	3712	408831
9	4049	400880
10	4460	401017
11	4848	399166
12	5239	397809
13	5581	393062
14	5966	391828
15	6345	390254
16	6692	386996
17	7027	383396
18	7398	381985
19	7765	380527
20	8141	379543
21	8480	376986
22	8868	376718
23	9251	376217
24	9605	374597
25	9976	373722
26	10328	372220
27	10733	372600
28	11028	369277
29	11315	365856
30	11601	362636
31	11927	360800
32	12198	357445
33	12573	357225
34	12929	356488
35	13297	356082
36	13661	355570
37	14022	354997
38	14386	354492
39	14750	354008
40	15109	353408
41	15478	353061
42	15837	352474
43	16222	352475
44	16551	351255
45	16945	351429
46	17327	351348
47	17681	350676
48	18052	350359
49	18419	349966
50	18796	349770
51	19169	349482
52	19507	348558
53	19813	347102
54	20157	346337
55	20557	346545
56	20927	346221
57	21310	346113
58	21673	345666
59	21998	344641
60	22385	344589
61	22785	344715
62	23165	344544
63	23558	344537
64	23942	344407
65	24347	344556
66	24665	343471
67	25006	342733
68	25405	342784
69	25766	342326
70	26178	342533
71	26577	342549
72	26991	342752
73	27368	342471
74	27710	341758
75	28118	341855
76	28576	342541
77	28965	342387
78	29358	342273
79	29726	341858
80	30097	341471
81	30493	341381
82	30914	341547
83	31318	341515
84	31714	341400
85	32079	340939
86	32440	340443
87	32875	340710
88	33253	340379
89	33654	340287
90	34051	340138
91	34417	339681
92	34789	339293
93	35174	339024
94	35550	338666
95	35955	338580
96	36357	338459
97	36749	338243
98	37080	337473
99	37399	336597
100	37691	335490
101	37983	334401
102	38311	333641
103	38589	332462
104	38896	331543
105	39202	330631
106	39521	329840
107	39873	329324
108	40239	328933
109	40558	328152
110	40913	327680
111	41271	327222
112	41640	326862
113	41949	326025
114	42216	324880
115	42546	324235
116	42872	323560
117	43192	322844
118	43534	322298
119	43814	321307
120	44167	320850
121	44465	320003
122	44812	319514
123	45189	319238
